L,a,b,label,name,hex
81.1988,-3.1642,28.1977,RAL 1000,Beige verde,#BEBD7F
80.9939,-3.4342,25.4224,RAL 1000,Beige verde,#BEBD7F
74.9122,-11.7206,23.364,RAL 1000,Beige verde,#BEBD7F
81.3983,-13.9474,25.2633,RAL 1000,Beige verde,#BEBD7F
74.7776,-7.6679,36.8444,RAL 1000,Beige verde,#BEBD7F
75.2938,-11.1297,26.5375,RAL 1000,Beige verde,#BEBD7F
85.2321,-18.1106,17.6587,RAL 1000,Beige verde,#BEBD7F
70.2626,-11.8661,33.6112,RAL 1000,Beige verde,#BEBD7F
65.4081,-10.9063,40.9137,RAL 1000,Beige verde,#BEBD7F
89.6083,-5.3356,25.3261,RAL 1000,Beige verde,#BEBD7F
70.8594,-11.4763,22.4093,RAL 1000,Beige verde,#BEBD7F
88.7775,-9.5577,30.1362,RAL 1000,Beige verde,#BEBD7F
72.2841,1.8191,40.6072,RAL 1000,Beige verde,#BEBD7F
85.1216,-3.7206,35.7796,RAL 1000,Beige verde,#BEBD7F
74.2003,-6.7303,37.7677,RAL 1000,Beige verde,#BEBD7F
74.7932,-11.8098,26.9647,RAL 1000,Beige verde,#BEBD7F
88.8759,-10.9673,22.5784,RAL 1000,Beige verde,#BEBD7F
68.5943,-7.5552,28.8227,RAL 1000,Beige verde,#BEBD7F
60.9934,1.1632,32.6381,RAL 1000,Beige verde,#BEBD7F
66.9295,1.4732,44.0475,RAL 1000,Beige verde,#BEBD7F
74.7789,-11.7962,29.7816,RAL 1000,Beige verde,#BEBD7F
68.1266,-13.5324,26.998,RAL 1000,Beige verde,#BEBD7F
84.2491,-8.2034,26.0165,RAL 1000,Beige verde,#BEBD7F
69.9655,-12.1918,33.0219,RAL 1000,Beige verde,#BEBD7F
84.6901,-4.5783,39.6767,RAL 1000,Beige verde,#BEBD7F
55.6043,-7.4177,34.6767,RAL 1000,Beige verde,#BEBD7F
69.6665,-9.9355,28.9548,RAL 1000,Beige verde,#BEBD7F
57.2338,-8.168,37.4165,RAL 1000,Beige verde,#BEBD7F
76.2734,-3.6382,32.1406,RAL 1000,Beige verde,#BEBD7F
74.5618,-12.5627,45.9555,RAL 1000,Beige verde,#BEBD7F
74.8038,-13.5159,14.9897,RAL 1000,Beige verde,#BEBD7F
76.7919,-9.8323,23.872,RAL 1000,Beige verde,#BEBD7F
72.048,-10.6723,29.2941,RAL 1000,Beige verde,#BEBD7F
76.0448,-20.2497,26.0705,RAL 1000,Beige verde,#BEBD7F
66.8621,-6.4571,18.3973,RAL 1000,Beige verde,#BEBD7F
80.8198,-10.4621,27.2445,RAL 1000,Beige verde,#BEBD7F
79.8799,-18.1273,34.4866,RAL 1000,Beige verde,#BEBD7F
85.7659,-11.8977,38.5197,RAL 1000,Beige verde,#BEBD7F
79.0935,-9.7664,25.267,RAL 1000,Beige verde,#BEBD7F
76.7171,-7.4222,31.6866,RAL 1000,Beige verde,#BEBD7F
100.0,-4.6947,33.1375,RAL 1000,Beige verde,#BEBD7F
81.5619,-4.6407,40.1316,RAL 1000,Beige verde,#BEBD7F
71.4101,-11.7128,24.6771,RAL 1000,Beige verde,#BEBD7F
72.5167,-16.9402,31.6737,RAL 1000,Beige verde,#BEBD7F
65.2746,-3.0857,38.1417,RAL 1000,Beige verde,#BEBD7F
71.4004,-5.8565,20.5511,RAL 1000,Beige verde,#BEBD7F
67.067,-12.7539,33.9008,RAL 1000,Beige verde,#BEBD7F
80.7795,-6.1932,26.4316,RAL 1000,Beige verde,#BEBD7F
74.3427,-6.3139,26.2014,RAL 1000,Beige verde,#BEBD7F
73.1519,-10.8325,31.6635,RAL 1000,Beige verde,#BEBD7F
70.8848,-18.556,32.9246,RAL 1000,Beige verde,#BEBD7F
83.8041,-7.7144,35.0588,RAL 1000,Beige verde,#BEBD7F
73.8088,-15.9995,30.7095,RAL 1000,Beige verde,#BEBD7F
67.6035,-6.8796,23.6055,RAL 1000,Beige verde,#BEBD7F
72.8547,-9.2844,36.4469,RAL 1000,Beige verde,#BEBD7F
84.6082,-8.8499,29.5512,RAL 1000,Beige verde,#BEBD7F
78.1554,-15.491,26.5552,RAL 1000,Beige verde,#BEBD7F
61.6657,-8.1467,35.9173,RAL 1000,Beige verde,#BEBD7F
70.5249,-6.0446,38.7989,RAL 1000,Beige verde,#BEBD7F
74.7696,-20.0038,24.0876,RAL 1000,Beige verde,#BEBD7F
70.6138,-13.4455,30.7222,RAL 1000,Beige verde,#BEBD7F
80.5182,-7.171,25.3563,RAL 1000,Beige verde,#BEBD7F
71.5258,-5.0283,25.0136,RAL 1000,Beige verde,#BEBD7F
93.8765,-10.2626,33.1239,RAL 1000,Beige verde,#BEBD7F
91.8996,-13.2552,29.2284,RAL 1000,Beige verde,#BEBD7F
66.6848,-15.4731,28.2722,RAL 1000,Beige verde,#BEBD7F
80.758,-11.2376,21.1377,RAL 1000,Beige verde,#BEBD7F
44.336,-7.902,32.1009,RAL 1000,Beige verde,#BEBD7F
66.7524,-6.737,34.7874,RAL 1000,Beige verde,#BEBD7F
75.7572,-6.1772,32.7665,RAL 1000,Beige verde,#BEBD7F
62.8579,-9.4948,28.5802,RAL 1000,Beige verde,#BEBD7F
85.1176,-9.1521,31.748,RAL 1000,Beige verde,#BEBD7F
92.3758,-9.4747,36.3414,RAL 1000,Beige verde,#BEBD7F
56.7593,-13.4605,31.752,RAL 1000,Beige verde,#BEBD7F
58.4647,-9.3524,36.6167,RAL 1000,Beige verde,#BEBD7F
76.3639,-10.3804,23.2693,RAL 1000,Beige verde,#BEBD7F
95.257,-13.648,23.7633,RAL 1000,Beige verde,#BEBD7F
64.6862,-9.1263,31.1442,RAL 1000,Beige verde,#BEBD7F
71.7042,-9.038,33.5287,RAL 1000,Beige verde,#BEBD7F
95.0616,-5.0377,21.0131,RAL 1000,Beige verde,#BEBD7F
62.0052,-18.6603,25.7048,RAL 1000,Beige verde,#BEBD7F
63.2624,-15.8735,34.7778,RAL 1000,Beige verde,#BEBD7F
69.1224,-9.498,33.7852,RAL 1000,Beige verde,#BEBD7F
68.0481,-2.3538,36.2581,RAL 1000,Beige verde,#BEBD7F
84.0384,-5.9025,36.2996,RAL 1000,Beige verde,#BEBD7F
76.1885,-16.8013,35.5578,RAL 1000,Beige verde,#BEBD7F
57.9936,-6.3818,25.7185,RAL 1000,Beige verde,#BEBD7F
71.516,-2.7084,26.9483,RAL 1001,Beige,#C2B078
83.3676,-6.4845,40.407,RAL 1001,Beige,#C2B078
60.0603,-3.1757,38.4832,RAL 1001,Beige,#C2B078
70.8945,-3.6146,32.9803,RAL 1001,Beige,#C2B078
90.9305,-4.6395,33.4698,RAL 1001,Beige,#C2B078
80.8126,4.8054,30.8455,RAL 1001,Beige,#C2B078
74.3432,-15.5391,21.5835,RAL 1001,Beige,#C2B078
64.2883,-1.1095,24.5631,RAL 1001,Beige,#C2B078
67.9294,12.1644,41.097,RAL 1001,Beige,#C2B078
71.6031,-2.2286,32.2419,RAL 1001,Beige,#C2B078
68.8998,0.4002,42.8759,RAL 1001,Beige,#C2B078
86.6692,1.0267,32.5718,RAL 1001,Beige,#C2B078
52.5377,0.5046,38.2606,RAL 1001,Beige,#C2B078
83.0733,-7.3138,29.9818,RAL 1001,Beige,#C2B078
70.8225,-1.7051,27.5432,RAL 1001,Beige,#C2B078
73.9873,0.2689,19.0897,RAL 1001,Beige,#C2B078
63.9211,-18.5696,21.5376,RAL 1001,Beige,#C2B078
85.4564,3.937,31.9207,RAL 1001,Beige,#C2B078
80.0824,3.0188,28.4219,RAL 1001,Beige,#C2B078
89.426,-6.6765,23.189,RAL 1001,Beige,#C2B078
65.5,-4.6404,21.5645,RAL 1001,Beige,#C2B078
78.8859,-8.2759,12.2513,RAL 1001,Beige,#C2B078
74.6283,-5.3287,34.1339,RAL 1001,Beige,#C2B078
58.3873,-3.4251,30.9131,RAL 1001,Beige,#C2B078
72.8287,-0.362,24.8134,RAL 1001,Beige,#C2B078
71.1362,5.0438,29.552,RAL 1001,Beige,#C2B078
71.2935,3.7592,40.9426,RAL 1001,Beige,#C2B078
67.5584,-1.2418,34.252,RAL 1001,Beige,#C2B078
76.1655,-4.8006,15.5153,RAL 1001,Beige,#C2B078
86.2287,-1.1042,31.0042,RAL 1001,Beige,#C2B078
86.2433,5.1254,35.6948,RAL 1001,Beige,#C2B078
52.584,-1.12,30.9953,RAL 1001,Beige,#C2B078
72.4656,1.5172,34.1641,RAL 1001,Beige,#C2B078
74.0161,-5.6518,25.5298,RAL 1001,Beige,#C2B078
55.3197,6.1795,37.4825,RAL 1001,Beige,#C2B078
74.3228,-1.7382,26.8332,RAL 1001,Beige,#C2B078
85.9828,1.8811,28.0021,RAL 1001,Beige,#C2B078
68.5088,-8.5411,17.6916,RAL 1001,Beige,#C2B078
70.8788,-8.2421,27.0469,RAL 1001,Beige,#C2B078
63.1224,1.3384,42.6893,RAL 1001,Beige,#C2B078
67.689,-1.0661,30.2464,RAL 1001,Beige,#C2B078
87.4018,-6.7553,28.9575,RAL 1001,Beige,#C2B078
58.7285,-0.7469,28.4902,RAL 1001,Beige,#C2B078
80.3304,2.6897,30.0879,RAL 1001,Beige,#C2B078
53.9449,3.7011,31.2068,RAL 1001,Beige,#C2B078
88.2642,1.6881,28.743,RAL 1001,Beige,#C2B078
80.5868,-3.7777,19.0204,RAL 1001,Beige,#C2B078
74.4622,-1.3116,33.4249,RAL 1001,Beige,#C2B078
74.0801,-3.0487,26.8791,RAL 1001,Beige,#C2B078
62.1113,-4.4336,35.0274,RAL 1001,Beige,#C2B078
77.4174,-6.2332,22.6638,RAL 1001,Beige,#C2B078
79.1222,-8.8223,32.5625,RAL 1001,Beige,#C2B078
70.9792,-1.65,29.414,RAL 1001,Beige,#C2B078
69.6689,-2.6743,28.7625,RAL 1001,Beige,#C2B078
65.2937,-0.9895,23.1285,RAL 1001,Beige,#C2B078
77.9198,-8.8661,34.8386,RAL 1001,Beige,#C2B078
80.1426,-3.852,26.2201,RAL 1001,Beige,#C2B078
73.3307,-0.4127,28.5044,RAL 1001,Beige,#C2B078
68.4189,1.6503,42.9867,RAL 1001,Beige,#C2B078
87.8265,-4.3443,35.709,RAL 1001,Beige,#C2B078
69.4954,-3.1944,29.6914,RAL 1001,Beige,#C2B078
91.6984,-0.6659,24.5457,RAL 1001,Beige,#C2B078
52.9797,-10.6267,31.7887,RAL 1001,Beige,#C2B078
81.9565,-7.1774,26.0343,RAL 1001,Beige,#C2B078
87.1691,-3.2703,22.4983,RAL 1001,Beige,#C2B078
69.6741,2.9211,30.6743,RAL 1001,Beige,#C2B078
95.3414,0.0597,29.2556,RAL 1001,Beige,#C2B078
83.2215,1.149,32.3846,RAL 1001,Beige,#C2B078
76.165,3.3538,30.0882,RAL 1001,Beige,#C2B078
69.2108,-0.7831,24.7787,RAL 1001,Beige,#C2B078
76.2155,-2.887,28.7759,RAL 1001,Beige,#C2B078
69.3719,-1.6477,27.0426,RAL 1001,Beige,#C2B078
80.0624,-2.023,32.1002,RAL 1001,Beige,#C2B078
80.323,0.1357,35.7838,RAL 1001,Beige,#C2B078
70.7171,-7.2616,26.3967,RAL 1001,Beige,#C2B078
63.1751,1.9181,25.557,RAL 1001,Beige,#C2B078
78.3086,-9.2058,25.5247,RAL 1001,Beige,#C2B078
79.0692,-1.4463,39.1706,RAL 1001,Beige,#C2B078
77.1546,-2.7092,22.131,RAL 1001,Beige,#C2B078
78.7497,-1.0377,32.6196,RAL 1001,Beige,#C2B078
76.6762,-7.5397,27.8411,RAL 1001,Beige,#C2B078
61.9311,-2.0128,33.0907,RAL 1001,Beige,#C2B078
66.5225,-1.6157,36.7997,RAL 1001,Beige,#C2B078
62.1082,-2.5476,28.2665,RAL 1001,Beige,#C2B078
75.2886,-4.0529,31.9669,RAL 1001,Beige,#C2B078
71.8666,-6.6329,32.344,RAL 1001,Beige,#C2B078
58.5339,-12.3627,14.6584,RAL 1001,Beige,#C2B078
45.105,-0.0257,28.5456,RAL 1001,Beige,#C2B078
57.4072,-7.3341,34.3376,RAL 1001,Beige,#C2B078
89.0573,-4.6106,27.9339,RAL 1001,Beige,#C2B078
61.7957,-12.7528,23.9943,RAL 1001,Beige,#C2B078
71.277,-6.6362,20.9461,RAL 1001,Beige,#C2B078
57.0587,-1.6021,33.0778,RAL 1001,Beige,#C2B078
86.2722,-8.0306,28.1131,RAL 1001,Beige,#C2B078
67.6988,2.0466,34.3503,RAL 1001,Beige,#C2B078
69.1521,-1.5432,32.284,RAL 1001,Beige,#C2B078
94.7341,-1.2524,36.751,RAL 1001,Beige,#C2B078
89.3054,-2.0563,35.9375,RAL 1001,Beige,#C2B078
77.2276,10.1948,31.4803,RAL 1001,Beige,#C2B078
63.3046,1.396,23.9333,RAL 1001,Beige,#C2B078
64.038,-3.5139,30.4909,RAL 1001,Beige,#C2B078
76.1515,-1.0248,31.4755,RAL 1001,Beige,#C2B078
68.3863,-1.5395,43.1036,RAL 1001,Beige,#C2B078
69.9148,-1.9872,22.0805,RAL 1001,Beige,#C2B078
84.105,-5.849,20.8188,RAL 1001,Beige,#C2B078
65.6458,-5.3431,29.1562,RAL 1001,Beige,#C2B078
87.2741,5.7692,37.5267,RAL 1001,Beige,#C2B078
78.0945,0.6418,41.3555,RAL 1001,Beige,#C2B078
83.9996,-0.1479,30.3297,RAL 1001,Beige,#C2B078
72.9335,-0.4866,31.8862,RAL 1001,Beige,#C2B078
78.2853,-4.8298,24.9384,RAL 1001,Beige,#C2B078
66.2192,-0.981,25.156,RAL 1001,Beige,#C2B078
64.8614,0.4895,31.6677,RAL 1001,Beige,#C2B078
82.3341,3.3693,25.0642,RAL 1001,Beige,#C2B078
87.4394,-5.1928,29.661,RAL 1001,Beige,#C2B078
72.7671,-1.7852,25.7581,RAL 1001,Beige,#C2B078
60.3233,0.2482,42.573,RAL 1001,Beige,#C2B078
66.4372,-10.4716,26.4701,RAL 1001,Beige,#C2B078
56.8895,-3.0152,32.9062,RAL 1001,Beige,#C2B078
56.6891,3.898,31.7619,RAL 1001,Beige,#C2B078
77.0918,0.346,35.3391,RAL 1001,Beige,#C2B078
80.0981,-1.7252,30.9657,RAL 1001,Beige,#C2B078
68.6862,2.8093,33.0363,RAL 1001,Beige,#C2B078
54.9511,8.8553,47.493,RAL 1001,Beige,#C2B078
68.9953,0.4179,31.9988,RAL 1001,Beige,#C2B078
70.8306,-0.8975,43.2942,RAL 1001,Beige,#C2B078
91.7477,-8.1049,23.1837,RAL 1001,Beige,#C2B078
50.8488,-5.3391,41.6076,RAL 1001,Beige,#C2B078
69.0061,0.3682,24.8731,RAL 1001,Beige,#C2B078
86.8222,10.4824,43.4269,RAL 1001,Beige,#C2B078
76.7212,-7.2608,25.9295,RAL 1001,Beige,#C2B078
68.5067,-2.9655,31.1838,RAL 1001,Beige,#C2B078
66.8361,-3.1274,21.7679,RAL 1001,Beige,#C2B078
71.1417,-1.3647,20.864,RAL 1001,Beige,#C2B078
81.3359,2.2794,32.9581,RAL 1001,Beige,#C2B078
55.2156,-2.8484,44.4751,RAL 1001,Beige,#C2B078
68.6365,-8.6883,20.5998,RAL 1001,Beige,#C2B078
63.478,-1.4147,32.0788,RAL 1001,Beige,#C2B078
77.2513,5.8587,31.0082,RAL 1001,Beige,#C2B078
75.1982,-8.821,37.8008,RAL 1001,Beige,#C2B078
63.7689,-6.947,21.4987,RAL 1001,Beige,#C2B078
65.6987,0.6757,37.014,RAL 1001,Beige,#C2B078
67.9286,-15.0859,20.8676,RAL 1001,Beige,#C2B078
65.8364,-7.1672,28.7697,RAL 1001,Beige,#C2B078
72.5913,-4.0419,22.5188,RAL 1001,Beige,#C2B078
70.0267,0.3666,33.0273,RAL 1001,Beige,#C2B078
85.7842,-2.7621,26.6463,RAL 1001,Beige,#C2B078
63.9008,3.3432,33.4589,RAL 1001,Beige,#C2B078
74.181,6.772,30.1868,RAL 1001,Beige,#C2B078
58.9887,0.0701,26.721,RAL 1001,Beige,#C2B078
60.7942,3.2607,30.5302,RAL 1002,Amarillo arena,#C6A664
67.2674,6.3047,34.4908,RAL 1002,Amarillo arena,#C6A664
77.1599,3.8911,38.3215,RAL 1002,Amarillo arena,#C6A664
53.5632,-5.4313,22.9411,RAL 1002,Amarillo arena,#C6A664
79.3429,0.8174,36.5045,RAL 1002,Amarillo arena,#C6A664
57.886,1.251,34.1007,RAL 1002,Amarillo arena,#C6A664
74.3213,2.51,25.9181,RAL 1002,Amarillo arena,#C6A664
74.7496,7.6195,42.0974,RAL 1002,Amarillo arena,#C6A664
75.1535,-0.7816,35.4928,RAL 1002,Amarillo arena,#C6A664
80.4494,-1.9682,39.3996,RAL 1002,Amarillo arena,#C6A664
52.7426,0.98,30.9698,RAL 1002,Amarillo arena,#C6A664
64.7149,10.0091,45.4956,RAL 1002,Amarillo arena,#C6A664
71.6448,-2.8284,41.0645,RAL 1002,Amarillo arena,#C6A664
64.3805,-3.5617,36.7031,RAL 1002,Amarillo arena,#C6A664
77.1175,0.3973,41.2057,RAL 1002,Amarillo arena,#C6A664
68.055,6.6351,36.6025,RAL 1002,Amarillo arena,#C6A664
73.1565,3.8667,33.1899,RAL 1002,Amarillo arena,#C6A664
68.7472,0.2885,39.7425,RAL 1002,Amarillo arena,#C6A664
56.0893,1.8846,34.4423,RAL 1002,Amarillo arena,#C6A664
69.9822,-1.7602,23.8608,RAL 1002,Amarillo arena,#C6A664
75.7126,-7.4502,42.7731,RAL 1002,Amarillo arena,#C6A664
64.5994,3.8046,39.7444,RAL 1002,Amarillo arena,#C6A664
74.0492,11.5137,48.4993,RAL 1002,Amarillo arena,#C6A664
78.1425,5.5942,34.7833,RAL 1002,Amarillo arena,#C6A664
68.207,-1.2417,34.3227,RAL 1002,Amarillo arena,#C6A664
36.7053,9.6247,51.8924,RAL 1002,Amarillo arena,#C6A664
64.6369,2.4684,46.8369,RAL 1002,Amarillo arena,#C6A664
91.0566,-0.1814,33.5399,RAL 1002,Amarillo arena,#C6A664
57.015,4.6978,37.4817,RAL 1002,Amarillo arena,#C6A664
53.8361,2.3337,53.4729,RAL 1002,Amarillo arena,#C6A664
84.0286,-3.8201,25.2441,RAL 1002,Amarillo arena,#C6A664
61.0995,5.4491,43.4729,RAL 1002,Amarillo arena,#C6A664
72.638,2.1913,32.0575,RAL 1002,Amarillo arena,#C6A664
67.6226,1.3502,44.2455,RAL 1002,Amarillo arena,#C6A664
75.8543,2.1218,41.2823,RAL 1002,Amarillo arena,#C6A664
68.0008,0.748,37.7027,RAL 1002,Amarillo arena,#C6A664
73.5591,2.2498,31.314,RAL 1002,Amarillo arena,#C6A664
90.6757,6.9298,30.9932,RAL 1002,Amarillo arena,#C6A664
82.4845,-6.3096,41.068,RAL 1002,Amarillo arena,#C6A664
60.5121,1.694,33.5447,RAL 1002,Amarillo arena,#C6A664
68.9682,7.0465,28.9031,RAL 1002,Amarillo arena,#C6A664
83.6633,5.4234,42.2032,RAL 1002,Amarillo arena,#C6A664
77.3263,-3.6768,39.1616,RAL 1002,Amarillo arena,#C6A664
68.9781,-1.6486,42.1244,RAL 1002,Amarillo arena,#C6A664
75.8906,9.3356,31.7167,RAL 1002,Amarillo arena,#C6A664
83.7788,9.7182,41.7079,RAL 1002,Amarillo arena,#C6A664
88.3923,-1.1141,34.8182,RAL 1002,Amarillo arena,#C6A664
63.7262,-3.0161,28.3496,RAL 1002,Amarillo arena,#C6A664
63.8548,-1.535,32.6732,RAL 1002,Amarillo arena,#C6A664
63.4185,2.2251,53.9398,RAL 1002,Amarillo arena,#C6A664
65.7426,2.6104,27.7441,RAL 1002,Amarillo arena,#C6A664
59.5614,3.3145,36.2446,RAL 1002,Amarillo arena,#C6A664
50.1664,-0.0494,39.2087,RAL 1002,Amarillo arena,#C6A664
63.6366,1.6119,32.8504,RAL 1002,Amarillo arena,#C6A664
71.6139,1.2605,36.8753,RAL 1002,Amarillo arena,#C6A664
67.4323,4.1307,35.625,RAL 1002,Amarillo arena,#C6A664
84.0573,8.4883,38.2944,RAL 1002,Amarillo arena,#C6A664
68.497,1.9407,41.9362,RAL 1002,Amarillo arena,#C6A664
75.0351,1.2438,24.5734,RAL 1002,Amarillo arena,#C6A664
72.6649,3.7347,28.8287,RAL 1002,Amarillo arena,#C6A664
77.1979,-2.1857,28.7641,RAL 1002,Amarillo arena,#C6A664
70.9364,-3.8105,33.772,RAL 1002,Amarillo arena,#C6A664
81.8396,-0.2436,32.8209,RAL 1002,Amarillo arena,#C6A664
64.6383,1.4335,34.4315,RAL 1002,Amarillo arena,#C6A664
74.683,4.3755,30.447,RAL 1002,Amarillo arena,#C6A664
74.2402,2.1692,32.8545,RAL 1002,Amarillo arena,#C6A664
65.0806,10.8625,34.68,RAL 1002,Amarillo arena,#C6A664
70.3315,9.3313,48.2643,RAL 1002,Amarillo arena,#C6A664
82.6577,8.9983,38.2473,RAL 1002,Amarillo arena,#C6A664
62.9096,9.113,46.3562,RAL 1002,Amarillo arena,#C6A664
68.0578,8.5673,36.9188,RAL 1002,Amarillo arena,#C6A664
80.078,7.935,35.1449,RAL 1002,Amarillo arena,#C6A664
79.0247,1.7096,47.2361,RAL 1002,Amarillo arena,#C6A664
71.6163,5.0238,38.2894,RAL 1002,Amarillo arena,#C6A664
50.2222,0.4065,27.9229,RAL 1002,Amarillo arena,#C6A664
68.041,5.539,27.7558,RAL 1002,Amarillo arena,#C6A664
51.8934,-4.8264,38.8541,RAL 1002,Amarillo arena,#C6A664
79.9172,7.2363,42.0779,RAL 1002,Amarillo arena,#C6A664
71.4827,7.7831,37.1149,RAL 1002,Amarillo arena,#C6A664
81.949,-1.508,38.2308,RAL 1002,Amarillo arena,#C6A664
65.7668,11.0514,54.0411,RAL 1002,Amarillo arena,#C6A664
53.5895,-4.3644,28.2597,RAL 1002,Amarillo arena,#C6A664
74.432,5.8203,39.5044,RAL 1002,Amarillo arena,#C6A664
64.8395,6.2157,33.3238,RAL 1002,Amarillo arena,#C6A664
70.1418,15.7078,42.9977,RAL 1002,Amarillo arena,#C6A664
72.6517,1.0465,33.5973,RAL 1002,Amarillo arena,#C6A664
90.3188,-0.8041,32.1511,RAL 1002,Amarillo arena,#C6A664
83.4726,6.5967,42.6956,RAL 1002,Amarillo arena,#C6A664
77.1429,6.7528,50.5547,RAL 1002,Amarillo arena,#C6A664
76.5325,5.1113,35.8068,RAL 1002,Amarillo arena,#C6A664
80.602,-0.1036,35.4673,RAL 1002,Amarillo arena,#C6A664
66.978,1.4963,30.0541,RAL 1002,Amarillo arena,#C6A664
52.3098,5.1708,30.3964,RAL 1002,Amarillo arena,#C6A664
64.3762,2.5315,33.897,RAL 1002,Amarillo arena,#C6A664
71.7781,7.7361,52.4736,RAL 1002,Amarillo arena,#C6A664
64.6191,8.9412,45.1989,RAL 1002,Amarillo arena,#C6A664
65.6214,5.402,43.6955,RAL 1002,Amarillo arena,#C6A664
66.351,-2.2686,31.0929,RAL 1002,Amarillo arena,#C6A664
82.5375,4.963,40.4614,RAL 1002,Amarillo arena,#C6A664
72.6545,-0.6404,59.2213,RAL 1002,Amarillo arena,#C6A664
